file number,time (s),x_center (cm),adv (degree),rec (degree),contact_line_length (cm),y_center (cm),middle_angle_degree (degree),velocity (cm/s)
frame_000224.png,0.02725,1.5760984399506286,115.11963166035224,67.16514709269156,0.6800467080615293,0.1161671383785448,55.62162247225238,45.53532645728087
frame_000225.png,0.0275,1.5874822715649488,113.22668579038925,66.4974121620346,0.6817282439248803,0.11570312297301631,55.780288210112246,45.06555215162411
frame_000226.png,0.02775,1.5987486596028548,111.67921298064083,66.93549870633896,0.6847301673007542,0.11524769307331667,55.86169949447799,45.667991752605275
frame_000227.png,0.028,1.6101656575410062,113.08823992372324,68.39123641763906,0.6849725431719752,0.11472542202029522,55.94872090151504,46.901808777466414
frame_000228.png,0.02825,1.6218911097353728,111.96614244693633,68.3058714408289,0.6865677165397626,0.11434564175404636,56.07811987730234,45.79252763971198
frame_000229.png,0.0285,1.6333392416453008,112.75541041873942,54.48356565521303,0.6933916330443642,0.11381994711063197,56.21233051159863,43.80081372050171
frame_000230.png,0.02875,1.6442894450754262,114.52172096977579,46.17560577964648,0.7014504368633979,0.11325253633390733,56.113627494309895,45.69176264776509
frame_000231.png,0.029,1.6557123857373675,113.81256381611153,51.03425437684104,0.7050098986103526,0.11279882240008726,56.1579580274095,44.964040727703214
frame_000232.png,0.02925,1.6669533959192933,115.33108032821181,59.78954914122356,0.7051525794673689,0.11231191881059538,56.13441240524979,45.219438597894346
frame_000233.png,0.029500000000000002,1.6782582555687668,115.24515719014276,64.19966630684523,0.7058540721617974,0.1118269861976873,56.05893907996533,45.061099430288465
frame_000234.png,0.029750000000000002,1.689523530426339,115.21441989004005,66.61072993489513,0.70714568472419,0.11142734282185403,56.00444115117482,45.3728967857554
frame_000235.png,0.03,1.7008667546227778,112.4345524435585,70.29990362737178,0.7092364202190271,0.11104746983438742,55.94114448390983,45.19754176336921
frame_000236.png,0.03025,1.7121661400636201,110.29826605163484,68.9739091758255,0.7122208160520023,0.11058663847825954,55.91407464471687,45.255257532990534
frame_000237.png,0.0305,1.7234799544468677,111.33552560505734,67.7766438902025,0.7145598028906307,0.11012798418791325,55.769843302886265,46.56620106622622
frame_000238.png,0.03075,1.7351215047134243,114.56956230579867,66.74713898536403,0.715722161669487,0.10976599694181888,55.83762883099533,45.81333951437383
frame_000239.png,0.031,1.7465748395920178,116.57400088859212,69.1037559186125,0.7171347061959015,0.10942611211581907,55.80028519130341,46.74121500976014
frame_000240.png,0.03125,1.7582601433444578,115.52649963099756,66.35084269645137,0.7200462731380437,0.10909725752582937,55.91928425955197,46.62342149214016
frame_000241.png,0.0315,1.7699159987174928,113.80876589442892,67.7415919042748,0.7218657433881122,0.10874790747256219,55.888766320948015,46.2007953655732
frame_000242.png,0.03175,1.7814661975588861,113.39997433165226,64.88695759663106,0.7246393588608012,0.10843100501473975,55.871771256460235,46.17006518498279
frame_000243.png,0.032,1.7930087138551318,110.75957939909773,64.7206293595349,0.7285248545952345,0.10812422270906286,55.81323566905653,47.23225837452727
frame_000244.png,0.03225,1.8048167784487636,111.67261259454976,65.86691259426676,0.7301700274555903,0.10782190375250987,55.86307537233166,47.284932598938845
frame_000245.png,0.0325,1.8166380115984984,112.49373275312274,64.8960972102934,0.7323295602600624,0.10745836971552766,55.87433061931553,47.13231640836746
frame_000246.png,0.03275,1.8284210907005902,112.58002236381321,63.00963287257092,0.7356186616446745,0.10708549790816307,55.60840363692873,46.36190194319223
frame_000247.png,0.033,1.8400115661863883,112.0634809358043,64.44479717694298,0.7379551485727494,0.10680838683399642,55.5837655123563,46.45235982834439
frame_000248.png,0.03325,1.8516246561434744,109.52160254087465,63.144478263560245,0.7423876741788796,0.1065232787373802,55.45822778988413,47.68952627628931
frame_000249.png,0.0335,1.8635470377125467,113.02489254888857,63.71014701013942,0.7429931348472665,0.10608152063199862,55.41034392372395,47.179813854193675
frame_000250.png,0.03375,1.8753419911760951,114.20162467403048,63.73385851767206,0.7454399482660651,0.10568457782789392,55.34321273145776,46.438116031645826
frame_000251.png,0.034,1.8869515201840066,111.6426646366833,61.32572044607048,0.7502540270636473,0.10530285306498115,55.07062455063183,47.078125062089526
